"ID";"Inkomensbegrippen";"Inkomensklassen";"Geslacht";"KenmerkenVanPersonen";"Perioden";"PersonenMetInkomen_1";"GemiddeldInkomen_2";"MediaanInkomen_3"
"25276";"A043961";"A028710";"4000   ";"2012655";"2020JJ00";"    34.6";"    76.3";"    75.7"
"25287";"A043961";"A028710";"4000   ";"2012657";"2020JJ00";"    29.8";"    76.0";"    75.3"
"26211";"A043961";"A028711";"3000   ";"1012600";"2020JJ00";"   641.5";"   130.3";"   110.3"
"26222";"A043961";"A028711";"3000   ";"2012655";"2020JJ00";"    77.1";"   148.2";"   116.4"
"26233";"A043961";"A028711";"3000   ";"2012657";"2020JJ00";"    47.6";"   132.5";"   109.5"
"26684";"A043961";"A028711";"4000   ";"1012600";"2020JJ00";"   160.0";"   121.7";"   106.9"
"26695";"A043961";"A028711";"4000   ";"2012655";"2020JJ00";"    32.2";"   131.9";"   110.4"
"26706";"A043961";"A028711";"4000   ";"2012657";"2020JJ00";"    19.9";"   121.9";"   106.2"
"40401";"A043962";"A028702";"3000   ";"1012600";"2020JJ00";"   433.6";"     2.4";"     2.6"
"40412";"A043962";"A028702";"3000   ";"2012655";"2020JJ00";"    59.2";"     2.6";"     2.6"
"40423";"A043962";"A028702";"3000   ";"2012657";"2020JJ00";"   115.1";"     2.7";"     2.9"
"40874";"A043962";"A028702";"4000   ";"1012600";"2020JJ00";"   556.2";"     3.0";"     2.9"
"40885";"A043962";"A028702";"4000   ";"2012655";"2020JJ00";"    80.8";"     2.9";"     2.8"
"40896";"A043962";"A028702";"4000   ";"2012657";"2020JJ00";"   135.6";"     3.2";"     3.2"
"41820";"A043962";"A028703";"3000   ";"1012600";"2020JJ00";"   245.6";"    10.3";"    10.8"
"41831";"A043962";"A028703";"3000   ";"2012655";"2020JJ00";"    38.0";"    10.3";"    10.6"
"41842";"A043962";"A028703";"3000   ";"2012657";"2020JJ00";"   102.7";"    10.2";"    10.6"
"42293";"A043962";"A028703";"4000   ";"1012600";"2020JJ00";"   768.0";"    10.7";"    11.0"
"42304";"A043962";"A028703";"4000   ";"2012655";"2020JJ00";"    91.3";"    10.5";"    11.0"
"42315";"A043962";"A028703";"4000   ";"2012657";"2020JJ00";"   134.9";"    10.1";"    10.4"
"43239";"A043962";"A028704";"3000   ";"1012600";"2020JJ00";"   353.6";"    15.8";"    16.1"
"43250";"A043962";"A028704";"3000   ";"2012655";"2020JJ00";"    52.6";"    15.8";"    16.0"
"43261";"A043962";"A028704";"3000   ";"2012657";"2020JJ00";"   106.4";"    15.9";"    16.3"
"43712";"A043962";"A028704";"4000   ";"1012600";"2020JJ00";"   633.7";"    15.6";"    16.0"
"43723";"A043962";"A028704";"4000   ";"2012655";"2020JJ00";"    89.9";"    15.7";"    16.0"
"43734";"A043962";"A028704";"4000   ";"2012657";"2020JJ00";"   144.4";"    15.9";"    16.3"
"44658";"A043962";"A028705";"3000   ";"1012600";"2020JJ00";"   410.6";"    20.5";"    20.4"
"44669";"A043962";"A028705";"3000   ";"2012655";"2020JJ00";"    56.6";"    20.4";"    20.4"
"44680";"A043962";"A028705";"3000   ";"2012657";"2020JJ00";"    70.8";"    20.4";"    20.2"
"45131";"A043962";"A028705";"4000   ";"1012600";"2020JJ00";"   670.2";"    20.4";"    20.3"
"45142";"A043962";"A028705";"4000   ";"2012655";"2020JJ00";"    87.0";"    20.4";"    20.3"
"45153";"A043962";"A028705";"4000   ";"2012657";"2020JJ00";"    85.4";"    20.3";"    20.1"
"46077";"A043962";"A028706";"3000   ";"1012600";"2020JJ00";"   455.9";"    26.9";"    26.9"
"46088";"A043962";"A028706";"3000   ";"2012655";"2020JJ00";"    66.4";"    27.0";"    27.0"
"46099";"A043962";"A028706";"3000   ";"2012657";"2020JJ00";"    80.4";"    26.9";"    26.8"
"46550";"A043962";"A028706";"4000   ";"1012600";"2020JJ00";"   616.4";"    26.8";"    26.7"
"46561";"A043962";"A028706";"4000   ";"2012655";"2020JJ00";"    85.4";"    26.8";"    26.8"
