sample_id,iteration,seed,w_wr_ratio,nw_wr_ratio
0,0,171693872274590416946117554234160908145,0.37543131262935125,-0.08257905213543622
0,1,300716288336997743374459220219216946912,0.06648228547881874,-0.24427122495238568
1,0,296670172927493729536387749483532264946,0.02964187212540642,-0.015494932624283161
1,1,236312982436161056234213376242156179742,0.009051490534206213,-0.07801633178427339
2,0,326845165394838089920607134923577842627,0.12178497982386155,-0.2583465396087909
2,1,112527578130751272394753971712230447290,0.4925571134003232,-0.017383958549046803
3,0,31056060234329858336908565064067302191,0.3024450619818937,-0.10763248860746455
3,1,51880885813737516616454529335430580321,0.5311761748692969,0.07903166171014188
4,0,296363227412040142534532862308577139612,0.4585755644520276,0.11620325074748698
4,1,9485733074591496870734715916080195503,0.495335902439289,0.15748233563196912
5,0,270225523895988584461184085731054806289,0.393937374104593,-0.07524968111089368
5,1,131709868638922692711548949691054130196,0.3764501661006269,0.030216690030627866
6,0,176277858219401488411570727319671244409,0.3678026353083994,-0.15000507281762887
6,1,333170272120711559149003875459228868128,0.26136422053762576,-0.06043203860442765
7,0,52592553428900067586306902105741021903,0.5442476243512322,-0.018171002094445606
7,1,167393040825765875005556865139301399706,0.3682566753907099,0.026183498956440288
8,0,6670407311334870391874829262390901381,0.040950696649530986,-0.04523803256897374
8,1,245362716522333647073760623689649395340,0.47318394864931196,-0.12185505627599168
9,0,207329727827042795160442552543971604919,0.1599763662520242,-0.1909730538788944
9,1,123095729372748848912733482169380091622,0.1585092550313158,-0.1819725763253819
10,0,46859070287833532661047528953237930507,0.057648837871340945,-0.3273501484249472
10,1,148866078518694784240053730846535186282,0.09057366178985045,-0.30061009390092003
11,0,16319564558602544430910457114548676531,-0.02427979326127858,-0.2401598618548164
11,1,162991835542558937010740454092907194050,-0.03508261573376912,-0.34941798975131966
12,0,218378307070665455198139308466890081435,0.04970296613182216,-0.3081365671487659
12,1,92891259121524235388541937272817548917,0.009879561726997502,-0.18935082264719544
13,0,30620473755868900546148130482905821679,0.0302937870288722,-0.19708626383464184
13,1,209456439174980288793618972233186654957,0.06622818654190336,-0.2208183614507903
14,0,81767030369121700425443503317340052157,-0.02887580917942711,-0.35478846566199784
14,1,100332943446056607100063267148443107611,0.08015636853295136,-0.2566767034077642
15,0,73880611298808974235061136325014253406,0.29074285032578046,-0.1708513768870945
15,1,189517041188768841032400703857149822528,0.14760228824278293,-0.23549048798479413
16,0,209594770628518255986270329937495362019,0.2346277161429205,-0.08901878238949316
16,1,205778077400118458448287462628638185709,0.6029886602997896,-0.04909770230491035
17,0,37383283418511224244763063302932759815,0.1329200917717863,0.011371594276244422
17,1,135480372665509248508407724507417118422,0.1732074128935866,-0.11467017041598611
18,0,295956536319667819027376409544101188415,0.394148379614631,0.03529968710106542
18,1,143114051469544857772862877485545936534,0.424900995180587,-0.00827871575773521
19,0,151563427594943307812693778085171068403,0.4513972398521973,-0.056535972421605823
19,1,133088923291148087756322090123623892083,0.2507186513415877,0.09302123932862431
20,0,5207923576787296883695384799806670094,0.3577698786075586,-0.08374598370101424
20,1,140746159484664303135939799667496124550,-0.013806211136863164,-0.1407130654659603
21,0,157818360969788692307304534221832923066,0.33297905303765163,-0.04694992016034623
21,1,271722377597612302524569377034624359758,0.3104338991894274,-0.09900224080729911
22,0,13825424876878114727516285594761775678,0.3093693762726726,0.11921239556040751
22,1,330873799593297623898924309644580008437,-0.05003374162490321,-0.0579455786570426
23,0,27403952685508225090861278351705816165,0.20569449456177652,-0.17268380772837835
23,1,307427852628006727796448263876000548879,0.20970958092515982,-0.3141591872410186
24,0,99208974501062692787329548895232526876,0.23245747749966947,-0.09087223387042194
24,1,179117301757310114324930028290884728586,0.13645171324834704,-0.04233683134638976
25,0,193571028011403435084995018955468760962,0.12031123579090046,-0.008875137540577437
25,1,282479822760437355544798726938883018082,0.2664525407290092,0.005738165425080844
26,0,233909311913659333880391240320049964804,0.4481797228113267,0.1263044709439918
26,1,303596094156265828639573974561909067358,0.017645648815235435,-0.12100242633588824
27,0,273985208017139057516660891872026091758,0.11836611514151632,-0.35033168462243586
27,1,116766656791197595855824175528162772632,-0.05624937599020144,-0.32939383805867134
28,0,291704795060590308534131734922102881270,0.25865797563945253,-0.07188918443974397
28,1,197243497471847332372270695303320716458,0.19428710393269313,-0.05863705742466315
29,0,57243294494722511192236440199868194770,-0.12037134799685242,-0.2633786976042665
29,1,274439718680395383708221619511765830068,-0.06047180215512764,-0.3062716031906596
30,0,315903603119665760603135162407600535359,0.1076372196642279,-0.1180660332656017
